Date,numVisit,From,To,Description
2009/9/21,2,China,United States,"Hu Jintao travelled to USA, New York, New York and met with the following: • Yukio Hatoyama (Prime Minister of Japan)"
2009/9/21,2,China,United States,"Hu Jintao travelled to USA, New York, New York and met with the following: • Nicolas Sarkozy (President of France)"
2009/9/22,1,China,United States,"Hu Jintao travelled to USA, New York, New York and met with the following: • Barack Obama (President of the United States)"
2009/9/23,1,China,United States,"Hu Jintao travelled to USA, New York, New York and met with the following: • Dmitry Medvedev (President of Russia)"
2009/9/24,1,China,United States,"Hu Jintao travelled to USA, New York, New York"
2009/9/25,1,China,United States,"Hu Jintao travelled to USA, Pennsylvania, Pittsburgh"
2009/10/10,2,Republic of Korea,China,Hu Jintao was in Beijing Municipality and met with the following: • Myung-bak Lee (President of the Republic of Korea (ROK))
2009/10/10,2,Japan,China,Hu Jintao was in Beijing Municipality and met with the following: • Yukio Hatoyama (Prime Minister of Japan)
2009/10/14,5,Russia,China,Hu Jintao was in Beijing Municipality and met with the following: • Vladimir Putin (Prime Minister of Russia)
2009/10/14,5,Kazakhstan,China,Hu Jintao was in Beijing Municipality and met with the following: • Karim Masimov (Kazakh Prime Minister)
2009/10/14,5,Kyrgyzstan,China,Hu Jintao was in Beijing Municipality and met with the following: • Igor Chudinov (Kyrgyz Prime Minister)
2009/10/14,5,Uzbekistan,China,Hu Jintao was in Beijing Municipality and met with the following: • Shavkat Mirziyaev (Uzbek Prime Minister)
2009/10/14,5,Tajikistan,China,Hu Jintao was in Beijing Municipality and met with the following: • Akil Akilov (Tajik Prime Minister)
2009/10/28,1,North Korea,China,Hu Jintao was in Beijing Municipality and met with the following: • Tae Bok Choe (Secretary of the Central Committee of the Worker's Party of Korea of the Democratic People's Republic of Korea)
2009/11/10,1,China,Malaysia,Hu Jintao was in Beijing Municipality and met with the following: • Akil Akilov (Tajik Prime Minister)
2009/11/11,1,Malaysia,Singapore,"Hu Jintao travelled to Singapore, Singapore City and met with the following: • Kuan Yew Lee (Minister Mentor of Singapore) • S.R. Nathan (President of Singapore)"
2009/11/12,1,Malaysia,Singapore,"Hu Jintao travelled to Singapore, Singapore City"
2009/11/13,1,Malaysia,Singapore,"Hu Jintao travelled to Singapore, Singapore City"
2009/11/14,1,Malaysia,Singapore,"Hu Jintao travelled to Singapore, Singapore City"
2009/11/15,1,Malaysia,Singapore,"Hu Jintao travelled to Singapore, Singapore City and met with the following: • Dmitry Medvedev (Russian President)"
2009/11/17,1,United States,China,Hu Jintao was in Beijing Municipality and met with the following: • Barack Obama (President of the United States)
2009/11/20,1,Republic of Korea,China,Hu Jintao was in Beijing Municipality and met with the following: • Hyong-o Kim (Speaker of South Korea's National Assembly)
2009/12/1,1,Sweden,China,Hu Jintao was in Beijing Municipality and met with the following: • Fredrik Reinfeldt (Swedish Prime Minister)
2009/12/3,1,Canada,China,Hu Jintao was in Beijing Municipality and met with the following: • Stephen Harper (Prime Minister of Canada)
2009/12/8,1,Russia,China,Hu Jintao was in Beijing Municipality and met with the following: • Nikolai Patrushev (Russian Security Council Secretary)
2009/12/10,1,Japan,China,Hu Jintao was in Beijing Municipality and met with the following: • Ichiro Ozawa (Secretary General of the Democratic Party of Japan)
2009/12/12,1,China,Kazakhstan,"Hu Jintao travelled to Kazakhstan, Astana and met with the following: • Nursultan Nazarbayev (President of Kazakhstan)"
2009/12/13,2,Kazakhstan,Turkmenistan,"Hu Jintao travelled to Turkmenistan, Ashgabat and met with the following: • Islam Karimov (Uzbek President)"
2009/12/13,2,Kazakhstan,Turkmenistan,"Hu Jintao travelled to Turkmenistan, Ashgabat and met with the following: • Gurbanguly Berdymukhamedov (President of Turkmenistan)"
2009/12/22,1,France,China,Hu Jintao was in Beijing Municipality and met with the following: • Francois Fillon (Prime Minister of France)
2009/12/30,1,Nepal,China,Hu Jintao was in Beijing Municipality and met with the following: • Madhav Kumar Nepal (Prime Minister of Nepal)
